"X,Y,OBJECTID,Name,Type,Web_URL"
"271784.140000083,6141390.80738729,1,Civic Centre,Local Government,http://www.cityofpae.sa.gov.au"
"271854.388410584,6141405.17641408,2,Visitor Information Centre,Local Government,http://www.cityofpae.sa.gov.au"
"271817.667700158,6141312.57629084,3,Port Mall Shopping Centre,Retail,http://www.portmall.com.au"
"271876.740210635,6140962.93090357,4,Port Canal Shopping Centre,Retail,http://www.portcanalshoppingcentre.com.au"
"271985.305909499,6141529.70768856,5,Maritime Museum,Museum,http://samaritimemuseum.com.au"
"272172.102704812,6141256.69690712,6,National Railway Museum,Museum,http://www.natrailmuseum.org.au"
"272477.044608391,6140970.91358952,7,South Australian Aviation Museum,Museum,http://www.saam.org.au"
"271487.180898867,6141405.17641408,8,Port Adelaide TAFE,Education,http://www.tafesa.edu.au/campuses/metro/port-adelaide"
"269189.739302004,6142088.5017003,9,Semaphore Jetty,Structure,"
"269778.867799735,6141970.35659203,10,Semaphore Road Shopping Precinct,Retail,"
"269612.826197433,6142208.24321187,11,Palais Hotel,Hotel,http://palais.com.au/"
"269968.857809126,6143515.82118652,12,Largs Bay Jetty,Structure,"
"270136.495989363,6143388.09690169,13,Largs Pier Hotel,Hotel,http://www.largspierhotel.com.au/"
"272263.106308326,6144491.31589836,14,Marina Adelaide,Facility,http://www.marinaadelaide.com.au/"
"270263.251786031,6149267.03559753,15,Royal South Australian Yatch Squadron,Facility,http://www.rsays.com.au/"
"272138.41539933,6148347.48421052,16,Techport Australia,Facility,http://www.techportaustralia.com/"
"270046.886692162,6146995.20269398,17,Cruising Yatch Club of South Australia,Facility,www.cycsa.com.au/"
"273258.64311112,6139195.65169757,18,Alberton Oval,Facility,http://www.portadelaidefc.com.au/"
"277795.816290194,6138285.01970329,19,Regency TAFE,Education,http://www.tafesa.edu.au/campuses/metro/regency"
"281025.81600876,6142395.44460864,20,Gepps Cross Shopping Centre,Retail,"
"281648.770200687,6141888.6344038,21,State Sports Park,Facility,"
"285350.083287949,6140883.25221169,22,Gilles Plains TAFE,Education,http://www.tafesa.edu.au/campuses/metro/gilles-plains"
"281728.587310381,6140092.08500977,23,Enfield Memorial Park & Crematorium,Facility,http://www.aca.sa.gov.au/Ourcemeteries/EnfieldMemorialPark/AcaciaandFollandChapels.aspx"
"277637.693607347,6139368.33499772,24,Regency Park Golf Course,Facility,http://www.regencyparkgolfcourse.com.au/"
"286598.812298643,6141838.50250275,25,Valley View Par 3 Golf Course,Facility,http://www.casaleisure.com.au/valley-view-golf-course/"
"269902.643393261,6148545.81881199,26,North Haven Golf Course,Facility,http://www.btmgolf.com.au/"
"269794.460788119,6140828.79900299,27,Glanville Hall Par 3 Golf Course,Facility,http://www.cityofpae.sa.gov.au/page.aspx?c=18618"
"279029.617102201,6137206.61739738,28,Dudley Park Cemetery,Facility,http://www.dudleyparkcemetery.com.au/"
"283894.249294662,6138791.36159839,29,Greenacres Shopping Centre,Facility,http://www.greenacresshopping.com.au/"
"280903.062192515,6138199.78500285,30,Sefton Plaza Shopping Centre,Retail,"
"276814.627210188,6139960.35859899,31,The Parks Community Centre,Facility,http://www.parksrsc.ymca.org.au/"
"275126.735308508,6141709.4089991,32,Animal Welfare League,Facility,https://animalwelfare.com.au/"
"284097.179012624,6138778.673929,33,Greenacres Library,Facility,http://www.cityofpae.sa.gov.au/page.aspx?u=2234"
"280730.676886481,6140648.21808739,34,Enfield Library,Facility,http://www.cityofpae.sa.gov.au/page.aspx?u=2234"
"269669.844501344,6141940.19239254,35,Semaphore Library,Facility,http://www.cityofpae.sa.gov.au/page.aspx?u=2234"
"271732.59260513,6141060.81028705,36,Port Adelaide Library,Facility,http://www.cityofpae.sa.gov.au/page.aspx?u=2234"
"273364.483992955,6145769.13410035,37,Torrens Island Power Station,Facility,http://www.agl.com.au/about-agl/how-we-source-energy/thermal-energy/agl-torrens"
"270858.255590445,6145047.91728571,38,Fort Largs Policy Academy,Facility,https://www.police.sa.gov.au/"
"285661.230506546,6140432.12980005,39,Gilles Plains Shopping Centre,Retail,http://makris.com.au/prperty_portfolio.html"
"285046.514503093,6137875.8759874,40,Windsor Gardens Caravan Park,Facility,http://www.windsorgardenscaravanpark.com.au/"
